latitude,longitude,crime_type,datetime,area
19.14360714596149,72.91249909127171,BURGLARY,2025-08-04 11:02:30,Matunga
19.051056291670854,72.8241300226883,OTHER,2025-06-07 12:16:30,Mulund
19.001116814876152,72.95153173389369,VANDALISM,2025-07-07 02:21:30,Mulund
19.103340912948912,72.91711262249116,BURGLARY,2025-08-03 05:38:30,Vile Parle
19.058369298690074,72.95018463287103,ROBBERY,2025-06-06 19:14:30,Malad
19.042996806550406,72.84624153125104,THEFT,2026-01-02 05:23:30,Kurla
19.100112724560518,72.84159578175014,VANDALISM,2025-01-28 20:17:30,Fort
19.14192484123463,72.93692410256415,THEFT,2025-10-24 05:38:30,Kurla
19.113098016520606,72.88365381985837,ASSAULT,2025-11-03 03:04:30,Powai
19.102615389998473,72.85075838144421,DRUG,2025-03-31 01:14:30,Borivali
19.091893996217152,72.94164513177701,ROBBERY,2025-03-08 20:32:30,Bandra
19.112060861710667,72.92386748402272,FRAUD,2025-07-17 21:45:30,Andheri
19.146756814308365,72.93003707363992,BURGLARY,2025-02-01 12:37:30,Malad
19.017633623121775,72.86860047527988,ASSAULT,2025-07-24 21:12:30,Churchgate
19.038393834372332,72.86425743845535,THEFT,2025-07-16 17:36:30,Lower Parel
19.098507241657625,72.91349093326467,BURGLARY,2025-06-10 02:07:30,Matunga
19.0193131932051,72.85614467571155,THEFT,2025-08-04 14:24:30,Vikhroli
19.046717188723704,72.82739837797145,THEFT,2025-06-12 18:56:30,Mulund
19.10750661400475,72.90040741539507,ASSAULT,2025-07-26 07:12:30,Mulund
19.090637340827822,72.91273706910299,BURGLARY,2025-04-18 06:25:30,Dadar
19.096152701705204,72.90480581773322,OTHER,2025-03-21 01:49:30,Churchgate
19.049639165570827,72.91460465319824,ROBBERY,2025-12-18 09:57:30,Matunga
19.120751768747684,72.82530763159482,THEFT,2025-08-01 19:39:30,Vikhroli
19.03403615713483,72.90937242986571,THEFT,2025-06-23 09:55:30,Malad
19.05901030194508,72.94320949831051,DRUG,2025-06-05 00:51:30,Fort
19.132600903007148,72.84139124415728,OTHER,2025-10-06 05:49:30,Vikhroli
19.037277843635067,72.81666541517089,FRAUD,2025-06-15 19:00:30,Malad
19.106543558998137,72.83822881823514,ROBBERY,2025-03-22 13:56:30,Matunga
19.11880109766709,72.90304823820713,THEFT,2025-10-07 17:11:30,Borivali
19.04358814621062,72.84850457905166,ROBBERY,2025-08-09 11:58:30,Malad
19.039349629672426,72.84757356187215,ASSAULT,2025-06-10 16:40:30,Worli
19.101552427851875,72.90362094857518,BURGLARY,2025-03-05 20:08:30,Kurla
19.12022169553125,72.87809556396579,THEFT,2025-11-07 04:56:30,Worli
19.100645537509696,72.84011236207621,FRAUD,2025-09-04 04:16:30,Malad
19.050612545700577,72.88561474502532,FRAUD,2025-05-01 17:23:30,Andheri
19.026423912002915,72.88622018936876,DOMESTIC,2025-09-07 12:21:30,Santa Cruz
19.051287117544312,72.9179568042974,THEFT,2025-10-26 21:56:30,Worli
19.04547652154717,72.86566712846695,THEFT,2025-11-29 13:36:30,Juhu
19.120744276845016,72.90019458961667,ASSAULT,2025-06-18 02:14:30,Bandra
19.105801819289802,72.91502668629076,FRAUD,2025-03-31 12:21:30,Colaba
19.091534398631854,72.91602591376304,THEFT,2025-10-18 11:23:30,Dadar
19.1273034612518,72.83185700509924,ROBBERY,2026-01-12 04:58:30,Vikhroli
19.089460428501653,72.82774700225211,THEFT,2025-03-26 12:49:30,Malad
19.009729039326267,72.93998205914397,VANDALISM,2025-09-22 15:55:30,Worli
19.057355308743713,72.85892403303005,DRUG,2025-08-06 18:45:30,Borivali
19.044813040193965,72.92706002840237,BURGLARY,2025-09-02 05:44:30,Andheri
19.098466052396414,72.80990883862955,THEFT,2025-09-29 18:59:30,Marine Lines
19.076470438787013,72.93117347617826,VANDALISM,2025-12-18 02:27:30,Worli
19.004976696581245,72.89056633719102,ASSAULT,2026-01-02 13:35:30,Andheri
