latitude,longitude,crime_type,datetime,area,year,month,day,hour,day_of_week,is_weekend,lat_zone,lng_zone,zone_id
37.819971430641,-122.38460090872827,BURGLARY,2025-08-04 09:36:31,Zone_11,2025,8,4,9,0,False,37.82,-122.38,37.82_-122.38
37.75827086111391,-122.4729699773117,OTHER,2025-06-07 10:50:31,Zone_12,2025,6,7,10,5,True,37.76,-122.47,37.76_-122.47
37.724977876584106,-122.34556826610633,VANDALISM,2025-07-07 00:55:31,Zone_12,2025,7,7,0,0,False,37.72,-122.35000000000001,37.72_-122.35000000000001
37.80224091294891,-122.37998737750884,BURGLARY,2025-08-03 04:12:31,Zone_15,2025,8,3,4,6,True,37.800000000000004,-122.38,37.800000000000004_-122.38
37.76314619912672,-122.34691536712896,ROBBERY,2025-06-06 17:48:31,Zone_09,2025,6,6,17,4,False,37.76,-122.35000000000001,37.76_-122.35000000000001
37.74189680655041,-122.45085846874896,THEFT,2026-01-02 03:57:31,Zone_08,2026,1,2,3,4,False,37.74,-122.45,37.74_-122.45
37.79901272456052,-122.45550421824986,VANDALISM,2025-01-28 18:51:31,Zone_18,2025,1,28,18,1,False,37.800000000000004,-122.46000000000001,37.800000000000004_-122.46000000000001
37.81884989415642,-122.36017589743584,THEFT,2025-10-24 04:12:31,Zone_08,2025,10,24,4,4,False,37.82,-122.36,37.82_-122.36
37.79963201101374,-122.41344618014163,ASSAULT,2025-11-03 01:38:31,Zone_13,2025,11,3,1,0,False,37.800000000000004,-122.41,37.800000000000004_-122.41
37.80151538999847,-122.4463416185558,DRUG,2025-03-30 23:48:31,Zone_03,2025,3,30,23,6,True,37.800000000000004,-122.45,37.800000000000004_-122.45
37.7854959974781,-122.355454868223,ROBBERY,2025-03-08 19:06:31,Zone_02,2025,3,8,19,5,True,37.79,-122.36,37.79_-122.36
37.81096086171067,-122.37323251597728,FRAUD,2025-07-17 20:19:31,Zone_01,2025,7,17,20,3,False,37.81,-122.37,37.81_-122.37
37.82207120953891,-122.36706292636008,BURGLARY,2025-02-01 11:11:31,Zone_09,2025,2,1,11,5,True,37.82,-122.37,37.82_-122.37
37.73598908208118,-122.42849952472012,ASSAULT,2025-07-24 19:46:31,Zone_04,2025,7,24,19,3,False,37.74,-122.43,37.74_-122.43
37.74982922291489,-122.43284256154465,THEFT,2025-07-16 16:10:31,Zone_19,2025,7,16,16,2,False,37.75,-122.43,37.75_-122.43
37.79740724165763,-122.38360906673532,BURGLARY,2025-06-10 00:41:31,Zone_11,2025,6,10,0,1,False,37.800000000000004,-122.38,37.800000000000004_-122.38
37.73710879547007,-122.44095532428844,THEFT,2025-08-04 12:58:31,Zone_20,2025,8,4,12,0,False,37.74,-122.44,37.74_-122.44
37.7553781258158,-122.46970162202857,THEFT,2025-06-12 17:30:31,Zone_12,2025,6,12,17,3,False,37.76,-122.47,37.76_-122.47
37.80640661400475,-122.39669258460492,ASSAULT,2025-07-26 05:46:31,Zone_12,2025,7,26,5,5,True,37.81,-122.4,37.81_-122.4
37.78953734082783,-122.384362930897,BURGLARY,2025-04-18 04:59:31,Zone_05,2025,4,18,4,4,False,37.79,-122.38,37.79_-122.38
37.78833513447014,-122.39229418226678,OTHER,2025-03-21 00:23:31,Zone_04,2025,3,21,0,4,False,37.79,-122.39,37.79_-122.39
37.74853916557083,-122.38249534680176,ROBBERY,2025-12-18 08:31:31,Zone_11,2025,12,18,8,3,False,37.75,-122.38,37.75_-122.38
